tick,arrived,cumulative_avg,windowed_avg,min_time,max_time,p95_time,throughput,rush_level,system_cost,total_delay,active_vehicles,reroutes
1,0,0,0,0,0,0,0,0.0130381,499700,0,50015,0
50,883,3.52672,4.923,0.7,5,5,17.66,0.41334,476053,1327.11,49132,3688
100,2470,6.11284,9.912,0.7,10,10,24.7,0.388893,461817,9137.42,47564,3688
200,5404,10.87,19.905,0.7,20,20,27.02,0.335304,435375,43458.2,44677,3688
300,7332,14.5261,29.877,0.7,30.0001,30.0001,24.44,0.359658,415551,84030.6,42793,10765
400,9466,19.1504,39.754,0.7,40,40,23.665,0.331345,396223,149472,40686,15133
500,11386,23.5154,49.7039,0.7,49.9998,49.9998,22.772,0.274238,379132,226251,38778,15133
600,13205,27.9108,59.7446,0.7,59.9997,59.9997,22.0083,0.295852,360201,317995,36971,15133
700,14949,32.2565,69.7875,0.7,69.9995,69.9995,21.3557,0.346436,341036,423120,35256,15133
800,16772,36.882,79.6543,0.7,79.9994,79.9994,20.965,0.285929,325424,549963,33478,15133
900,18371,41.0632,89.7682,0.7,89.9992,89.9992,20.4122,0.294798,309727,677436,31925,15133
1000,20078,45.6515,99.804,0.7,99.999,99.999,20.078,0.253833,294308,830109,30251,20253
1100,21377,49.215,109.269,0.7,109.899,109.799,19.4336,0.253203,281493,958301,28967,20253
1200,22829,53.4045,119.642,0.7,119.999,119.899,19.0242,0.233736,267998,1.11712e+06,27526,20253
1300,24118,57.2266,129.568,0.7,129.999,129.999,18.5523,0.224509,255952,1.27142e+06,26260,20253
1400,25427,61.2093,139.133,0.7,139.999,139.899,18.1621,0.274974,241868,1.441e+06,24993,20253
1500,26572,64.7671,148.579,0.7,150,149.6,17.7147,0.207801,232924,1.59886e+06,23896,20253
1600,27381,67.4125,159.456,0.7,160.001,159.901,17.1131,0.230577,223675,1.71887e+06,23087,22016
1700,28434,71.0298,169.744,0.7,170.001,170.001,16.7259,0.207056,214495,1.88546e+06,22034,22016
1800,29163,73.6256,178.54,0.7,180.002,179.802,16.2017,0.215978,206561,2.00841e+06,21305,24116
1900,29985,76.6535,189.24,0.7,190.002,190.002,15.7816,0.18515,199728,2.15455e+06,20483,24536
2000,30701,79.3992,199.132,0.7,200.003,200.003,15.3505,0.184902,192848,2.28869e+06,19767,24536
2100,31374,81.9975,208.971,0.7,210.004,210.004,14.94,0.159557,187000,2.41863e+06,19094,26785
2200,31776,83.6734,217.816,0.7,220.004,219.704,14.4436,0.150128,183548,2.50177e+06,18692,28193
2300,32186,85.485,229.026,0.7,230.005,230.005,13.9939,0.133275,180323,2.59147e+06,18282,28887
2400,32541,87.1112,238.464,0.7,240.005,240.005,13.5588,0.156234,175600,2.67218e+06,17927,31960
2500,32955,89.0845,248.232,0.7,250.006,250.006,13.182,0.179076,171247,2.77024e+06,17513,32819
2600,33477,91.6784,259.351,0.7,260.007,260.007,12.8758,0.173574,166014,2.89972e+06,16991,36055
2700,33969,94.1869,268.651,0.7,270.007,269.907,12.5811,0.1568,162228,3.02697e+06,16499,39291
2800,34372,96.3104,278.715,0.7,280.008,279.908,12.2757,0.161261,158191,3.13523e+06,16096,40882
2900,34805,98.6569,288.609,0.7,290.008,289.708,12.0017,0.176741,153159,3.25567e+06,15663,43145
3000,35238,101.065,298.579,0.7,300.009,299.709,11.746,0.166763,149154,3.38054e+06,15230,46017
3100,35694,103.678,309.374,0.7,310.01,310.01,11.5142,0.160208,144958,3.51684e+06,14774,48033
